Nom de l'animation,Thématique,Public cible,Zone géographique,Description,Durée,Prix,Intervenant(s),Lien
Atelier Jardinage,Environnement,Tout public,Lot-et-Garonne,Découverte du jardinage écologique,2.0h,Gratuit,Robin,
Conférence Climat,Climat,Adultes,Agen,Conférence sur les enjeux climatiques,1.0000000,Gratuit,Sophie,
Atelier DIY,Créativité,Familles,Marmande,Atelier créatif d'objets recyclés,2.0h,5.00€,Thomas,
Exposition Recyclage,Recyclage,Scolaires,Villeneuve-sur-Lot,Exposition autour du recyclage,Journée,Gratuit,Thomas,
Marche Verte,Mobilisation,Tout public,Nérac,Marche pour sensibiliser à l'environnement,3.0h,Participation libre,Lucas,
Atelier Cuisine Locale,Alimentation,Adultes,Tonneins,Atelier de cuisine locale et saisonnière,2.0000000,10.00€,Robin,
Jeu de piste Nature,Biodiversité,Enfants,Fumel,Chasse au trésor en nature,1.0000000,Gratuit,Élodie,
Atelier Zéro Déchet,Zéro Déchet,Tout public,Aiguillon,Création de produits zéro déchet,2.0h,5.00€,Robin,
Projection Débat,Cinéma,Jeunes,Casteljaloux,Projection de film et débat,2.0h,Gratuit,Sophie,
Chantier Participatif,Solidarité,Adultes,Le Mas d'Agenais,Chantier participatif écologique,Journée,Participation libre,Lucas,
Balade Botanique,Botanique,Familles,Damazan,Balade d'initiation à la botanique,2.0h,Gratuit,Sophie,
Atelier Semis,Agriculture,Adultes,Sainte-Livrade,Atelier de semis pour débutants,1.0000000,Gratuit,Sophie,
Rencontre Eco-Acteurs,Engagement,Jeunes,Monflanquin,Rencontre d'acteurs écologiques locaux,2.0h,Gratuit,Robin,
Festival Éco-citoyen,Culture,Tout public,Agen,Festival sur la citoyenneté écologique,Journée,Gratuit,Thomas,
Randonnée Educative,Découverte,Scolaires,Nérac,Randonnée éducative pour enfants,3.0h,Participation libre,Robin,
Atelier Fresque du Climat,Climat,Adultes,Marmande,Atelier collaboratif sur le climat,2.0h,5.00€,Marion,
Conférence Biodiversité,Biodiversité,Adultes,Fumel,Conférence sur la biodiversité,1.0000000,Gratuit,Robin,
Atelier Permaculture,Permaculture,Adultes,Casteljaloux,Initiation à la permaculture,2.0h,10.00€,Sophie,
Atelier Recyclage Papier,Recyclage,Jeunes,Sainte-Livrade,Recyclage et création de papier,2.0h,5.00€,Thomas,
Troc de Plantes,Nature,Familles,Villeneuve-sur-Lot,Échange de plantes entre habitants,1.0h,Gratuit,Élodie,
Atelier Cosmétiques Naturels,Bien-être,Adultes,Agen,Atelier de création de cosmétiques naturels,2.0h,10.00€,Élodie,
Projection Documentaire,Cinéma,Jeunes,Marmande,Projection de documentaire écologique,2.0h,Gratuit,Robin,
Repair Café,Réparation,Tout public,Fumel,Atelier réparation d'objets,2.0h,Gratuit,Lucas,
Atelier Vélos,Mobilité,Adultes,Nérac,Atelier entretien vélo,1.0000000,5.00€,Thomas,
Jeu Escape Green,Jeu,Familles,Le Mas d'Agenais,Escape game sur l'écologie,2.0h,Gratuit,Thomas,
Atelier Compost,Déchets,Tout public,Villeneuve-sur-Lot,Fabrication et gestion de compost,2.0h,5.00€,Sophie,
Ciné-débat,Cinéma,Jeunes,Casteljaloux,Ciné-débat sur l'écologie,2.0h,Gratuit,Lucas,
Conférence Pollution Plastique,Pollution,Adultes,Damazan,Conférence sur la pollution plastique,1.0000000,Gratuit,Lucas,
Forum des Associations,Engagement,Tout public,Monflanquin,Forum des associations locales,Journée,Gratuit,Marion,
Atelier Upcycling,Créativité,Jeunes,Sainte-Livrade,Atelier créatif de recyclage textile,2.0h,5.00€,Sophie,
Animation 31,Solidarité,Collégiens,Fumel,,,,Thomas,
Animation 32,Économie sociale,Adultes,Agen,,,,Lucas,
Animation 33,Développement durable,Familles,Fumel,,,,Sophie,
Animation 34,Interculturalité,Étudiants,Marmande,,,,Marion,
Animation 35,Écologie,Adultes,Nérac,,,,Lucas,
Animation 36,Développement durable,Collégiens,Nérac,,,,Lucas,
Animation 37,Citoyenneté,Familles,Marmande,,,,Élodie,
Animation 38,Interculturalité,Collégiens,Nérac,,,,Marion,
Animation 39,Solidarité,Collégiens,Fumel,,,,Élodie,
Animation 40,Interculturalité,Étudiants,Fumel,,,,Sophie,
Animation 41,Solidarité,Familles,Nérac,,,,Élodie,
Animation 42,Économie sociale,Familles,Marmande,,,,Marion,
Animation 43,Citoyenneté,Familles,Fumel,,,,Sophie,
Animation 44,Solidarité,Élèves primaire,Villeneuve-sur-Lot,,,,Thomas,
Animation 45,Écologie,Familles,Nérac,,,,Robin,
Animation 46,Économie sociale,Familles,Villeneuve-sur-Lot,,,,Sophie,
Animation 47,Citoyenneté,Adultes,Agen,,,,Thomas,
Animation 48,Interculturalité,Familles,Agen,,,,Sophie,
Animation 49,Écologie,Élèves primaire,Villeneuve-sur-Lot,,,,Marion,
Animation 50,Développement durable,Lycéens,Villeneuve-sur-Lot,,,,Élodie,
Animation 51,Écologie,Familles,Nérac,,,,Élodie,
Animation 52,Développement durable,Adultes,Nérac,,,,Sophie,
Animation 53,Développement durable,Lycéens,Nérac,,,,Thomas,
Animation 54,Économie sociale,Adultes,Agen,,,,Robin,
Animation 55,Citoyenneté,Lycéens,Agen,,,,Robin,
Animation 56,Citoyenneté,Familles,Agen,,,,Sophie,
Animation 57,Économie sociale,Lycéens,Marmande,,,,Robin,
Animation 58,Développement durable,Lycéens,Villeneuve-sur-Lot,,,,Élodie,
Animation 59,Interculturalité,Collégiens,Agen,,,,Élodie,
Animation 60,Développement durable,Adultes,Fumel,,,,Marion,
Animation 61,Interculturalité,Familles,Marmande,,,,Thomas,
Animation 62,Développement durable,Lycéens,Nérac,,,,Sophie,
Animation 63,Développement durable,Étudiants,Villeneuve-sur-Lot,,,,Robin,
Animation 64,Développement durable,Collégiens,Villeneuve-sur-Lot,,,,Robin,
Animation 65,Écologie,Élèves primaire,Fumel,,,,Robin,
Animation 66,Économie sociale,Élèves primaire,Marmande,,,,Marion,
Animation 67,Interculturalité,Lycéens,Villeneuve-sur-Lot,,,,Marion,
Animation 68,Écologie,Familles,Fumel,,,,Marion,
Animation 69,Citoyenneté,Élèves primaire,Villeneuve-sur-Lot,,,,Robin,
Animation 70,Solidarité,Adultes,Agen,,,,Lucas,
,,,,,,,,

